date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-03-12,1077.05,1094.8,1055.65,1076.85,1067.66,21785435,21785435,-0.2,-0.01856924,1076.0875,"March 12, 24",-0.0001856924
2024-03-11,1087.95,1087.95,1076.75,1078.7,1069.49,13310362,13310362,-9.25,-0.85022,1082.8375,"March 11, 24",-0.0085022
2024-03-07,1094.95,1095.0,1082.7,1087.95,1078.66,9963926,9963926,-7.0,-0.6393,1090.15,"March 07, 24",-0.006393
2024-03-06,1080.3,1113.55,1080.3,1097.1,1087.74,21796484,21796484,16.8,1.56,1092.8125,"March 06, 24",0.0156
2024-03-05,1086.2,1099.5,1076.5,1088.05,1078.76,9222544,9222544,1.85,0.17032,1087.5625,"March 05, 24",0.0017032
2024-03-04,1081.0,1095.0,1080.1,1092.35,1083.03,11424581,11424581,11.35,1.05,1087.1125,"March 04, 24",0.0105
2024-03-02,1087.25,1089.45,1080.5,1084.65,1075.39,481475,481475,-2.6,-0.23914,1085.4625,"March 02, 24",-0.0023914
2024-03-01,1055.0,1089.95,1054.0,1086.9,1077.62,14909562,14909562,31.9,3.02,1071.4625,"March 01, 24",0.0302
2024-02-29,1043.05,1060.7,1038.5,1052.2,1043.22,20944844,20944844,9.15,0.87724,1048.6125,"February 29, 24",0.0087724
2024-02-28,1063.0,1064.85,1042.15,1046.2,1037.27,7730332,7730332,-16.8,-1.58,1054.05,"February 28, 24",-0.0158
2024-02-27,1050.75,1066.2,1046.5,1060.2,1051.15,10580973,10580973,9.45,0.89936,1055.9125,"February 27, 24",0.0089936
2024-02-26,1053.1,1062.3,1050.5,1054.2,1045.2,7875941,7875941,1.1,0.10445,1055.025,"February 26, 24",0.0010445
2024-02-23,1070.0,1070.0,1057.65,1061.3,1052.24,13142759,13142759,-8.7,-0.81308,1064.7375,"February 23, 24",-0.0081308
2024-02-22,1056.0,1066.0,1040.3,1062.7,1053.63,13432573,13432573,6.7,0.63447,1056.25,"February 22, 24",0.0063447
2024-02-21,1056.8,1064.0,1048.0,1051.95,1042.97,15946325,15946325,-4.85,-0.45893,1055.1875,"February 21, 24",-0.0045893
2024-02-20,1041.05,1052.65,1033.25,1048.75,1039.8,11293528,11293528,7.7,0.73964,1043.925,"February 20, 24",0.0073964
2024-02-19,1023.35,1046.0,1023.35,1043.75,1034.84,9388255,9388255,20.4,1.99,1034.1125,"February 19, 24",0.0199
2024-02-16,1023.2,1026.2,1016.9,1023.25,1014.52,7159395,7159395,0.05,0.00488663,1022.3875,"February 16, 24",4.88663e-05
2024-02-15,1022.85,1026.65,1006.6,1016.65,1007.97,10069878,10069878,-6.2,-0.60615,1018.1875,"February 15, 24",-0.0060615
2024-02-14,1009.55,1035.7,1007.55,1022.7,1013.97,17878720,17878720,13.15,1.3,1018.875,"February 14, 24",0.013
2024-02-13,1006.0,1027.05,1000.3,1019.8,1011.1,18706292,18706292,13.8,1.37,1013.2875,"February 13, 24",0.0137
2024-02-12,1010.4,1012.2,985.25,996.1,987.6,8050066,8050066,-14.3,-1.42,1000.9875,"February 12, 24",-0.0142
2024-02-09,988.85,1013.75,985.5,1010.7,1002.07,12799837,12799837,21.85,2.21,999.7,"February 09, 24",0.0221
